run_id,condition_id,condition_name,model,model_label,realized_return_pct
claude_control_009_20260427T230440602186,0,control,claude-sonnet-4-6,claude,38.940503674300004
claude_technical_024_20260427T230445388090,2,technical,claude-sonnet-4-6,claude,29.369529659999998
claude_combined_005_20260427T230502561065,3,combined,claude-sonnet-4-6,claude,36.9982486547
claude_combined_024_20260427T230507575570,3,combined,claude-sonnet-4-6,claude,37.2637315206
claude_combined_002_20260427T230512824791,3,combined,claude-sonnet-4-6,claude,38.9627788883
claude_fundamental_000_20260427T230531126816,1,fundamental,claude-sonnet-4-6,claude,48.113090418400006
claude_combined_003_20260427T230544235405,3,combined,claude-sonnet-4-6,claude,39.93855
claude_technical_027_20260427T230600410714,2,technical,claude-sonnet-4-6,claude,30.947382992899996
claude_combined_006_20260427T230617312142,3,combined,claude-sonnet-4-6,claude,36.9480220002
claude_combined_019_20260427T230622433741,3,combined,claude-sonnet-4-6,claude,37.63596235280001
claude_fundamental_017_20260427T230627756552,1,fundamental,claude-sonnet-4-6,claude,47.782652325200004
claude_technical_019_20260427T230641883869,2,technical,claude-sonnet-4-6,claude,26.619760999999997
claude_technical_028_20260427T230658061554,2,technical,claude-sonnet-4-6,claude,24.415418186700002
claude_fundamental_002_20260427T230713813617,1,fundamental,claude-sonnet-4-6,claude,48.858017000000004
claude_control_016_20260427T230729502115,0,control,claude-sonnet-4-6,claude,39.01705
claude_technical_002_20260427T230734212121,2,technical,claude-sonnet-4-6,claude,30.5584234913
claude_technical_022_20260427T230749166988,2,technical,claude-sonnet-4-6,claude,24.5260213889
claude_combined_007_20260427T230807799925,3,combined,claude-sonnet-4-6,claude,39.2517494086
claude_fundamental_021_20260427T230826910416,1,fundamental,claude-sonnet-4-6,claude,50.1431218108
claude_technical_008_20260427T230845074799,2,technical,claude-sonnet-4-6,claude,24.886871064000008
claude_control_008_20260427T230901140659,0,control,claude-sonnet-4-6,claude,38.941900000000004
claude_technical_001_20260427T230905966124,2,technical,claude-sonnet-4-6,claude,27.136098061000002
claude_combined_008_20260427T230924602360,3,combined,claude-sonnet-4-6,claude,36.370054991100005
claude_combined_018_20260427T230945694260,3,combined,claude-sonnet-4-6,claude,38.77217707390001
claude_control_007_20260427T231007507813,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_control_001_20260427T231012209671,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_technical_018_20260427T231017234330,2,technical,claude-sonnet-4-6,claude,22.287526260399996
claude_technical_010_20260427T231032800361,2,technical,claude-sonnet-4-6,claude,29.889380796700003
claude_control_026_20260427T231051540800,0,control,claude-sonnet-4-6,claude,38.986835361800004
claude_technical_020_20260427T231056761748,2,technical,claude-sonnet-4-6,claude,25.820669999999993
claude_control_021_20260427T231111816224,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_fundamental_022_20260427T231116785873,1,fundamental,claude-sonnet-4-6,claude,50.2975293626
claude_fundamental_011_20260427T231133866661,1,fundamental,claude-sonnet-4-6,claude,49.197399999999995
claude_fundamental_020_20260427T231146730981,1,fundamental,claude-sonnet-4-6,claude,51.3896037833
claude_technical_006_20260427T231159021691,2,technical,claude-sonnet-4-6,claude,27.294856814600003
claude_fundamental_009_20260427T231214994740,1,fundamental,claude-sonnet-4-6,claude,51.22411941749999
claude_technical_007_20260427T231230868400,2,technical,claude-sonnet-4-6,claude,29.884867361400005
claude_fundamental_004_20260427T231248073364,1,fundamental,claude-sonnet-4-6,claude,50.93250674139999
claude_technical_000_20260427T231302509409,2,technical,claude-sonnet-4-6,claude,30.1303077614
claude_fundamental_008_20260427T231321144323,1,fundamental,claude-sonnet-4-6,claude,48.655814842299996
claude_fundamental_029_20260427T231337736072,1,fundamental,claude-sonnet-4-6,claude,48.9215169953
claude_fundamental_025_20260427T231350842885,1,fundamental,claude-sonnet-4-6,claude,50.283872365099995
claude_technical_016_20260427T231408764232,2,technical,claude-sonnet-4-6,claude,26.076814323500003
claude_control_022_20260427T231425763364,0,control,claude-sonnet-4-6,claude,39.096835457500006
claude_technical_003_20260427T231430676517,2,technical,claude-sonnet-4-6,claude,27.719487671599996
claude_technical_005_20260427T231450443118,2,technical,claude-sonnet-4-6,claude,26.888067339899997
claude_control_023_20260427T231509897157,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_fundamental_010_20260427T231514608878,1,fundamental,claude-sonnet-4-6,claude,50.1583747741
claude_combined_009_20260427T231528944182,3,combined,claude-sonnet-4-6,claude,43.479170999999994
claude_combined_022_20260427T231546526583,3,combined,claude-sonnet-4-6,claude,39.21389958820001
claude_control_024_20260427T231604990473,0,control,claude-sonnet-4-6,claude,39.889555903200005
claude_control_006_20260427T231609802168,0,control,claude-sonnet-4-6,claude,39.096835457500006
claude_fundamental_026_20260427T231614411034,1,fundamental,claude-sonnet-4-6,claude,46.6724995091
claude_combined_000_20260427T231629462713,3,combined,claude-sonnet-4-6,claude,39.508531387199994
claude_control_018_20260427T231649021925,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_fundamental_019_20260427T231653800177,1,fundamental,claude-sonnet-4-6,claude,49.71866325800001
claude_combined_028_20260427T231710525563,3,combined,claude-sonnet-4-6,claude,37.7888
claude_fundamental_012_20260427T231725682830,1,fundamental,claude-sonnet-4-6,claude,49.365602120300004
claude_control_002_20260427T231741658202,0,control,claude-sonnet-4-6,claude,39.480772259599995
claude_combined_013_20260427T231746469276,3,combined,claude-sonnet-4-6,claude,38.22193207020001
claude_technical_012_20260427T231807357642,2,technical,claude-sonnet-4-6,claude,29.4235205883
claude_technical_013_20260427T231824563114,2,technical,claude-sonnet-4-6,claude,30.1205823537
claude_fundamental_006_20260427T231843815864,1,fundamental,claude-sonnet-4-6,claude,50.581286119200016
claude_fundamental_016_20260427T231858970079,1,fundamental,claude-sonnet-4-6,claude,49.62760297380001
claude_fundamental_007_20260427T231915553885,1,fundamental,claude-sonnet-4-6,claude,49.9383256942
claude_control_010_20260427T231931941796,0,control,claude-sonnet-4-6,claude,39.555228685100005
claude_technical_014_20260427T231936851332,2,technical,claude-sonnet-4-6,claude,26.902483198000002
claude_control_015_20260427T231953446775,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_fundamental_028_20260427T231958356737,1,fundamental,claude-sonnet-4-6,claude,51.3462021068
claude_control_005_20260427T232012803521,0,control,claude-sonnet-4-6,claude,39.096835457500006
claude_fundamental_003_20260427T232017715930,1,fundamental,claude-sonnet-4-6,claude,50.77434999999999
claude_fundamental_014_20260427T232032051884,1,fundamental,claude-sonnet-4-6,claude,49.624844988300005
claude_fundamental_015_20260427T232048329339,1,fundamental,claude-sonnet-4-6,claude,49.91652552310001
claude_control_012_20260427T232105020899,0,control,claude-sonnet-4-6,claude,40.60955
claude_fundamental_018_20260427T232109734290,1,fundamental,claude-sonnet-4-6,claude,47.79870588250001
claude_combined_011_20260427T232129498915,3,combined,claude-sonnet-4-6,claude,37.58664999999999
claude_combined_020_20260427T232134720844,3,combined,claude-sonnet-4-6,claude,36.505799999999994
claude_combined_029_20260427T232139847655,3,combined,claude-sonnet-4-6,claude,36.72887309660001
claude_combined_010_20260427T232145165057,3,combined,claude-sonnet-4-6,claude,37.79455586540001
claude_control_019_20260427T232202267829,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_technical_025_20260427T232206979091,2,technical,claude-sonnet-4-6,claude,25.511641432199998
claude_fundamental_013_20260427T232222441377,1,fundamental,claude-sonnet-4-6,claude,48.726188291
claude_combined_014_20260427T232249164100,3,combined,claude-sonnet-4-6,claude,37.43505271520001
claude_control_020_20260427T232254183454,0,control,claude-sonnet-4-6,claude,39.096835457500006
claude_control_000_20260427T232258792780,0,control,claude-sonnet-4-6,claude,39.01705
claude_combined_025_20260427T232303604952,3,combined,claude-sonnet-4-6,claude,40.18756070959999
claude_combined_015_20260427T232325518526,3,combined,claude-sonnet-4-6,claude,39.7692456777
claude_fundamental_027_20260427T232350914734,1,fundamental,claude-sonnet-4-6,claude,49.72717135480001
claude_combined_023_20260427T232406067999,3,combined,claude-sonnet-4-6,claude,39.13540000000001
claude_fundamental_023_20260427T232420407144,1,fundamental,claude-sonnet-4-6,claude,51.125975009099996
claude_combined_017_20260427T232439040392,3,combined,claude-sonnet-4-6,claude,42.2044435041
claude_technical_029_20260427T232455847756,2,technical,claude-sonnet-4-6,claude,27.0673114539
claude_technical_023_20260427T232510787084,2,technical,claude-sonnet-4-6,claude,27.605
claude_combined_001_20260427T232526863663,3,combined,claude-sonnet-4-6,claude,40.080295456200005
claude_control_025_20260427T232545346208,0,control,claude-sonnet-4-6,claude,39.01705
claude_technical_011_20260427T232550182084,2,technical,claude-sonnet-4-6,claude,29.500134280399998
claude_combined_012_20260427T232607620325,3,combined,claude-sonnet-4-6,claude,39.007698999999995
claude_technical_017_20260427T232629833697,2,technical,claude-sonnet-4-6,claude,27.859429313100005
claude_technical_004_20260427T232645917380,2,technical,claude-sonnet-4-6,claude,27.884312760700002
claude_control_029_20260427T232704905723,0,control,claude-sonnet-4-6,claude,39.480772259599995
claude_control_027_20260427T232709675985,0,control,claude-sonnet-4-6,claude,40.084011543200006
claude_combined_016_20260427T232714489974,3,combined,claude-sonnet-4-6,claude,37.80310982779999
claude_combined_027_20260427T232719607422,3,combined,claude-sonnet-4-6,claude,42.379749468199996
claude_control_004_20260427T232737218123,0,control,claude-sonnet-4-6,claude,40.093533868
claude_fundamental_024_20260427T232742138204,1,fundamental,claude-sonnet-4-6,claude,49.925274149900005
claude_technical_015_20260427T232756473739,2,technical,claude-sonnet-4-6,claude,32.233966946399995
claude_control_011_20260427T232813265320,0,control,claude-sonnet-4-6,claude,39.1260314739
claude_technical_009_20260427T232817974067,2,technical,claude-sonnet-4-6,claude,30.8502120328
claude_combined_021_20260427T232833540460,3,combined,claude-sonnet-4-6,claude,38.06253892869999
claude_technical_026_20260427T232850233660,2,technical,claude-sonnet-4-6,claude,27.316699999999997
claude_control_013_20260427T232905082433,0,control,claude-sonnet-4-6,claude,40.60955
claude_combined_026_20260427T232910605369,3,combined,claude-sonnet-4-6,claude,38.33870000000001
claude_control_017_20260427T232926050323,0,control,claude-sonnet-4-6,claude,39.480772259599995
claude_control_028_20260427T232930656800,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_fundamental_001_20260427T232935566201,1,fundamental,claude-sonnet-4-6,claude,50.511500185600006
claude_fundamental_005_20260427T232955670147,1,fundamental,claude-sonnet-4-6,claude,50.33209337879999
claude_combined_004_20260427T233011698939,3,combined,claude-sonnet-4-6,claude,41.2497895979
claude_control_003_20260427T233030280578,0,control,claude-sonnet-4-6,claude,39.01705
claude_control_014_20260427T233035497780,0,control,claude-sonnet-4-6,claude,39.1723631614
claude_technical_021_20260427T233040523552,2,technical,claude-sonnet-4-6,claude,29.530719804600004
openai_fundamental_022_20260427T233054900857,1,fundamental,gpt-4o,openai,41.732946632300006
openai_combined_024_20260427T233101335247,3,combined,gpt-4o,openai,38.588421535300014
openai_control_009_20260427T233105609041,0,control,gpt-4o,openai,39.9288538492
openai_fundamental_014_20260427T233112063373,1,fundamental,gpt-4o,openai,41.97805582739999
openai_technical_006_20260427T233127038720,2,technical,gpt-4o,openai,33.0110996896
openai_technical_011_20260427T233131384586,2,technical,gpt-4o,openai,32.877753921
openai_fundamental_020_20260427T233136334872,1,fundamental,gpt-4o,openai,40.944739569899994
openai_technical_026_20260427T233141972379,2,technical,gpt-4o,openai,33.5859674658
openai_technical_001_20260427T233146775326,2,technical,gpt-4o,openai,34.8692253665
openai_technical_028_20260427T233159137960,2,technical,gpt-4o,openai,32.48794223059999
openai_combined_025_20260427T233208277164,3,combined,gpt-4o,openai,38.5485843749
openai_fundamental_009_20260427T233213158378,1,fundamental,gpt-4o,openai,43.29477161390001
openai_control_029_20260427T233218724353,0,control,gpt-4o,openai,40.642476608399996
openai_combined_008_20260427T233223195865,3,combined,gpt-4o,openai,39.459110799099996
openai_combined_026_20260427T233232140265,3,combined,gpt-4o,openai,37.7729605514
openai_control_024_20260427T233236748871,0,control,gpt-4o,openai,40.0639573769
openai_technical_019_20260427T233241904599,2,technical,gpt-4o,openai,34.198498275300004
openai_technical_025_20260427T233246473074,2,technical,gpt-4o,openai,34.2269957186
openai_control_021_20260427T233251183729,0,control,gpt-4o,openai,40.023906016699996
openai_fundamental_010_20260427T233255362853,1,fundamental,gpt-4o,openai,42.837658341700006
openai_combined_029_20260427T233300972641,3,combined,gpt-4o,openai,38.0505
openai_control_018_20260427T233305267346,0,control,gpt-4o,openai,40.558464915500004
openai_combined_001_20260427T233309413094,3,combined,gpt-4o,openai,39.4571834162
openai_fundamental_015_20260427T233315103216,1,fundamental,gpt-4o,openai,40.05187421949999
openai_combined_028_20260427T233319947484,3,combined,gpt-4o,openai,38.3123395513
openai_control_026_20260427T233328643850,0,control,gpt-4o,openai,38.8538554683
openai_control_007_20260427T233332943070,0,control,gpt-4o,openai,39.057524518499996
openai_fundamental_027_20260427T233337345357,1,fundamental,gpt-4o,openai,40.224091957300004
openai_technical_015_20260427T233351578112,2,technical,gpt-4o,openai,34.40763667299999
openai_combined_007_20260427T233401506525,3,combined,gpt-4o,openai,37.1851138146
openai_technical_000_20260427T233406216265,2,technical,gpt-4o,openai,33.0103875217
openai_control_028_20260427T233416760564,0,control,gpt-4o,openai,40.9525228157
openai_control_023_20260427T233421865971,0,control,gpt-4o,openai,40.12808886480001
openai_technical_014_20260427T233426387274,2,technical,gpt-4o,openai,31.3698851634
openai_combined_010_20260427T233442877012,3,combined,gpt-4o,openai,38.569136910900006
openai_control_012_20260427T233446771134,0,control,gpt-4o,openai,38.016439609
openai_combined_013_20260427T233450551878,3,combined,gpt-4o,openai,39.3757070598
openai_technical_017_20260427T233459653141,2,technical,gpt-4o,openai,34.4567011296
openai_control_027_20260427T233504381299,0,control,gpt-4o,openai,41.7621598559
openai_combined_018_20260427T233508588151,3,combined,gpt-4o,openai,39.312116503000006
openai_control_016_20260427T233528711049,0,control,gpt-4o,openai,40.24544514210001
openai_control_010_20260427T233533144614,0,control,gpt-4o,openai,40.7832023901
openai_fundamental_005_20260427T233537759698,1,fundamental,gpt-4o,openai,40.6612632526
openai_fundamental_000_20260427T233542407224,1,fundamental,gpt-4o,openai,41.4091825156
openai_fundamental_012_20260427T233547209950,1,fundamental,gpt-4o,openai,41.3837648652
openai_technical_012_20260427T233551994767,2,technical,gpt-4o,openai,33.077901151599995
openai_combined_014_20260427T233556181624,3,combined,gpt-4o,openai,37.578162868999996
openai_combined_000_20260427T233600599144,3,combined,gpt-4o,openai,39.5275704752
openai_combined_012_20260427T233605715518,3,combined,gpt-4o,openai,39.085797152800005
openai_control_004_20260427T233610938250,0,control,gpt-4o,openai,38.9048521865
openai_fundamental_001_20260427T233615443414,1,fundamental,gpt-4o,openai,40.726684425100004
openai_combined_027_20260427T233619510070,3,combined,gpt-4o,openai,38.1124620614
openai_combined_016_20260427T233623746864,3,combined,gpt-4o,openai,38.1600532077
openai_control_005_20260427T233627835731,0,control,gpt-4o,openai,40.6419607858
openai_fundamental_006_20260427T233632443857,1,fundamental,gpt-4o,openai,39.28194013790001
openai_control_003_20260427T233652277188,0,control,gpt-4o,openai,40.170145918299994
openai_control_015_20260427T233656510693,0,control,gpt-4o,openai,39.15626183689999
openai_technical_013_20260427T233700506039,2,technical,gpt-4o,openai,32.1853937888
