run_id,condition_id,condition_name,model,model_label,realized_return_pct
openai_fundamental_021_20260427T233709869941,1,fundamental,gpt-4o,openai,42.18488906879999
openai_fundamental_023_20260427T233721299975,1,fundamental,gpt-4o,openai,39.7557541828
openai_fundamental_026_20260427T233726098711,1,fundamental,gpt-4o,openai,42.3124164476
openai_combined_004_20260427T233749823395,3,combined,gpt-4o,openai,38.0720418929
openai_control_002_20260427T233754775483,0,control,gpt-4o,openai,40.873162524499996
openai_technical_002_20260427T233759997240,2,technical,gpt-4o,openai,34.03032950009999
openai_fundamental_011_20260427T233804721931,1,fundamental,gpt-4o,openai,39.7769906355
openai_technical_029_20260427T233809302637,2,technical,gpt-4o,openai,32.5970770155
openai_combined_009_20260427T233818122850,3,combined,gpt-4o,openai,36.9516182889
openai_technical_024_20260427T233839453143,2,technical,gpt-4o,openai,32.2483492446
openai_fundamental_017_20260427T233843719755,1,fundamental,gpt-4o,openai,42.557269106
openai_combined_021_20260427T233847508801,3,combined,gpt-4o,openai,38.5455783531
openai_control_025_20260427T233851505430,0,control,gpt-4o,openai,40.595544148500004
openai_fundamental_008_20260427T233911938822,1,fundamental,gpt-4o,openai,40.6701125633
openai_control_013_20260427T233920639264,0,control,gpt-4o,openai,39.1946737568
openai_combined_023_20260427T233924711169,3,combined,gpt-4o,openai,38.0157141857
openai_control_022_20260427T233929227469,0,control,gpt-4o,openai,41.1796211066
openai_technical_004_20260427T233933322727,2,technical,gpt-4o,openai,34.0241284452
openai_fundamental_003_20260427T233937995909,1,fundamental,gpt-4o,openai,42.2894643478
openai_control_000_20260427T233942493900,0,control,gpt-4o,openai,39.3170947118
openai_fundamental_028_20260427T233946137461,1,fundamental,gpt-4o,openai,41.686721909099994
openai_combined_019_20260427T233950377134,3,combined,gpt-4o,openai,38.0701
openai_fundamental_025_20260427T233954577065,1,fundamental,gpt-4o,openai,42.1623406548
openai_fundamental_007_20260427T234002329991,1,fundamental,gpt-4o,openai,40.489701005700006
openai_combined_003_20260427T234011173294,3,combined,gpt-4o,openai,37.33491956309999
openai_fundamental_013_20260427T234015052423,1,fundamental,gpt-4o,openai,42.192703654400006
openai_technical_022_20260427T234019569657,2,technical,gpt-4o,openai,34.1078989341
openai_fundamental_004_20260427T234023285585,1,fundamental,gpt-4o,openai,41.130512299500005
openai_technical_008_20260427T234027660017,2,technical,gpt-4o,openai,31.8821208119
openai_combined_005_20260427T234031699525,3,combined,gpt-4o,openai,38.00526911149999
openai_combined_022_20260427T234036252158,3,combined,gpt-4o,openai,37.7564359246
openai_combined_002_20260427T234040253246,3,combined,gpt-4o,openai,37.9830012171
openai_combined_017_20260427T234044491623,3,combined,gpt-4o,openai,38.9365776448
openai_control_001_20260427T234048343182,0,control,gpt-4o,openai,40.5820921399
openai_fundamental_002_20260427T234106940499,1,fundamental,gpt-4o,openai,44.1026003576
openai_technical_007_20260427T234111378008,2,technical,gpt-4o,openai,33.3740099972
openai_fundamental_029_20260427T234115890080,1,fundamental,gpt-4o,openai,40.300828545099996
openai_combined_015_20260427T234124692719,3,combined,gpt-4o,openai,38.935277086
openai_fundamental_018_20260427T234128677187,1,fundamental,gpt-4o,openai,41.269293386200005
openai_fundamental_019_20260427T234132988299,1,fundamental,gpt-4o,openai,40.982912687500004
openai_control_008_20260427T234137898830,0,control,gpt-4o,openai,37.923334448
openai_fundamental_024_20260427T234157937338,1,fundamental,gpt-4o,openai,43.0528321024
openai_technical_027_20260427T234201983831,2,technical,gpt-4o,openai,33.44383097170001
openai_combined_011_20260427T234207038063,3,combined,gpt-4o,openai,39.3539999258
openai_control_020_20260427T234211187323,0,control,gpt-4o,openai,39.725528731099985
openai_technical_020_20260427T234217125611,2,technical,gpt-4o,openai,35.330338478
openai_control_019_20260427T234221319959,0,control,gpt-4o,openai,40.6002366958
openai_control_014_20260427T234225615376,0,control,gpt-4o,openai,38.8194907887
openai_combined_020_20260427T234230132734,3,combined,gpt-4o,openai,37.6855313513
openai_control_006_20260427T234234123501,0,control,gpt-4o,openai,40.3547
openai_combined_006_20260427T234238006147,3,combined,gpt-4o,openai,37.5117581249
openai_control_011_20260427T234245592473,0,control,gpt-4o,openai,41.1036629553
openai_technical_003_20260427T234249995129,2,technical,gpt-4o,openai,32.3267243371
openai_technical_005_20260427T234302589769,2,technical,gpt-4o,openai,33.5868229366
openai_control_017_20260427T234314561192,0,control,gpt-4o,openai,39.467474248500004
gemini_control_009_20260428T195747043792,0,control,gemini/gemini-2.5-pro,gemini,41.9977
gemini_technical_024_20260428T195800027134,2,technical,gemini/gemini-2.5-pro,gemini,20.756952532699998
gemini_combined_005_20260428T195812501094,3,combined,gemini/gemini-2.5-pro,gemini,36.19169217300001
gemini_combined_024_20260428T195828178766,3,combined,gemini/gemini-2.5-pro,gemini,31.272825988400005
gemini_combined_002_20260428T195842206909,3,combined,gemini/gemini-2.5-pro,gemini,32.0419446995
gemini_fundamental_000_20260428T195857364556,1,fundamental,gemini/gemini-2.5-pro,gemini,46.335238089499995
gemini_combined_003_20260428T195911393266,3,combined,gemini/gemini-2.5-pro,gemini,36.49502718379999
gemini_technical_027_20260428T195926133186,2,technical,gemini/gemini-2.5-pro,gemini,26.3899285693
gemini_combined_006_20260428T200031774423,3,combined,gemini/gemini-2.5-pro,gemini,29.91172850019999
gemini_combined_019_20260428T200044673395,3,combined,gemini/gemini-2.5-pro,gemini,35.52860475499999
gemini_fundamental_017_20260428T200058428499,1,fundamental,gemini/gemini-2.5-pro,gemini,44.79000180330001
gemini_technical_019_20260428T200111915762,2,technical,gemini/gemini-2.5-pro,gemini,23.803086676200003
gemini_technical_028_20260428T200124309427,2,technical,gemini/gemini-2.5-pro,gemini,24.896509846300003
gemini_fundamental_002_20260428T200137002487,1,fundamental,gemini/gemini-2.5-pro,gemini,42.963782297299986
gemini_control_016_20260428T200148645823,0,control,gemini/gemini-2.5-pro,gemini,41.11295
gemini_technical_002_20260428T200159841887,2,technical,gemini/gemini-2.5-pro,gemini,19.1097977887
gemini_technical_022_20260428T200246743805,2,technical,gemini/gemini-2.5-pro,gemini,21.477073038700006
gemini_combined_007_20260428T200300468948,3,combined,gemini/gemini-2.5-pro,gemini,33.0707645856
gemini_fundamental_021_20260428T200314387582,1,fundamental,gemini/gemini-2.5-pro,gemini,44.035966157800004
gemini_technical_008_20260428T200327699401,2,technical,gemini/gemini-2.5-pro,gemini,19.7670550745
gemini_control_008_20260428T200409277177,0,control,gemini/gemini-2.5-pro,gemini,40.161419393100005
gemini_technical_001_20260428T200423817681,2,technical,gemini/gemini-2.5-pro,gemini,20.378321431499998
gemini_combined_008_20260428T200438054519,3,combined,gemini/gemini-2.5-pro,gemini,33.056238680099995
gemini_combined_018_20260428T200453918588,3,combined,gemini/gemini-2.5-pro,gemini,33.44285708110001
gemini_control_007_20260428T200508160337,0,control,gemini/gemini-2.5-pro,gemini,42.7740720579
gemini_control_001_20260428T200521778762,0,control,gemini/gemini-2.5-pro,gemini,40.1071756362
gemini_technical_018_20260428T200537295045,2,technical,gemini/gemini-2.5-pro,gemini,22.745753462999996
gemini_technical_010_20260428T200551677489,2,technical,gemini/gemini-2.5-pro,gemini,19.1746918447
gemini_control_026_20260428T200606221279,0,control,gemini/gemini-2.5-pro,gemini,40.9253292245
gemini_technical_020_20260428T200620250170,2,technical,gemini/gemini-2.5-pro,gemini,22.420171141700003
gemini_control_021_20260428T200643493789,0,control,gemini/gemini-2.5-pro,gemini,41.1015078471
gemini_fundamental_022_20260428T200657630680,1,fundamental,gemini/gemini-2.5-pro,gemini,44.7593226763
gemini_fundamental_011_20260428T200710636102,1,fundamental,gemini/gemini-2.5-pro,gemini,43.080985777600006
gemini_fundamental_020_20260428T200722610182,1,fundamental,gemini/gemini-2.5-pro,gemini,45.4683076775
gemini_technical_006_20260428T200736232206,2,technical,gemini/gemini-2.5-pro,gemini,24.6681532544
gemini_fundamental_009_20260428T200757426595,1,fundamental,gemini/gemini-2.5-pro,gemini,43.2571661758
gemini_technical_007_20260428T200813361734,2,technical,gemini/gemini-2.5-pro,gemini,24.4599726348
gemini_fundamental_004_20260428T200826487248,1,fundamental,gemini/gemini-2.5-pro,gemini,46.580425573999996
gemini_technical_000_20260428T200841974098,2,technical,gemini/gemini-2.5-pro,gemini,25.994284829600005
gemini_fundamental_008_20260428T200854877729,1,fundamental,gemini/gemini-2.5-pro,gemini,43.89760950750001
gemini_fundamental_029_20260428T200908498344,1,fundamental,gemini/gemini-2.5-pro,gemini,47.5551357105
gemini_fundamental_025_20260428T200922865613,1,fundamental,gemini/gemini-2.5-pro,gemini,42.703416641299995
gemini_technical_016_20260428T200938800482,2,technical,gemini/gemini-2.5-pro,gemini,20.877798185100005
gemini_control_022_20260428T201008300820,0,control,gemini/gemini-2.5-pro,gemini,39.6278
gemini_technical_003_20260428T201022324578,2,technical,gemini/gemini-2.5-pro,gemini,25.760377450500002
gemini_technical_005_20260428T201100416958,2,technical,gemini/gemini-2.5-pro,gemini,25.599127080600002
gemini_control_023_20260428T201116729567,0,control,gemini/gemini-2.5-pro,gemini,41.60130000000001
gemini_fundamental_010_20260428T201128064907,1,fundamental,gemini/gemini-2.5-pro,gemini,46.3991011915
gemini_combined_009_20260428T201141069330,3,combined,gemini/gemini-2.5-pro,gemini,28.7568568665
gemini_combined_022_20260428T201155406478,3,combined,gemini/gemini-2.5-pro,gemini,33.0765128718
gemini_control_024_20260428T201209333638,0,control,gemini/gemini-2.5-pro,gemini,40.43467178910001
gemini_control_006_20260428T201223055012,0,control,gemini/gemini-2.5-pro,gemini,41.50945272370001
gemini_fundamental_026_20260428T201236059774,1,fundamental,gemini/gemini-2.5-pro,gemini,46.21336783920001
gemini_combined_000_20260428T201251112746,3,combined,gemini/gemini-2.5-pro,gemini,30.7945817404
gemini_control_018_20260428T201308010114,0,control,gemini/gemini-2.5-pro,gemini,40.1432520701
gemini_fundamental_019_20260428T201321911673,1,fundamental,gemini/gemini-2.5-pro,gemini,46.0254988732
gemini_combined_028_20260428T201333703474,3,combined,gemini/gemini-2.5-pro,gemini,32.30925889209999
gemini_fundamental_012_20260428T201346513177,1,fundamental,gemini/gemini-2.5-pro,gemini,43.1570715761
gemini_control_002_20260428T201358697869,0,control,gemini/gemini-2.5-pro,gemini,39.8956334848
gemini_combined_013_20260428T201413547947,3,combined,gemini/gemini-2.5-pro,gemini,33.7715866372
gemini_technical_012_20260428T201427781134,2,technical,gemini/gemini-2.5-pro,gemini,20.999477789
gemini_technical_013_20260428T201440687173,2,technical,gemini/gemini-2.5-pro,gemini,22.874552710299998
gemini_fundamental_006_20260428T201456048271,1,fundamental,gemini/gemini-2.5-pro,gemini,39.854271339200004
gemini_fundamental_016_20260428T201514476809,1,fundamental,gemini/gemini-2.5-pro,gemini,42.30156725280001
gemini_fundamental_007_20260428T201529120861,1,fundamental,gemini/gemini-2.5-pro,gemini,44.8418385818
gemini_control_010_20260428T201542635812,0,control,gemini/gemini-2.5-pro,gemini,40.18264597930002
gemini_technical_014_20260428T201559534039,2,technical,gemini/gemini-2.5-pro,gemini,21.4475013659
gemini_control_015_20260428T201612227319,0,control,gemini/gemini-2.5-pro,gemini,42.48447791140001
gemini_fundamental_028_20260428T201625235677,1,fundamental,gemini/gemini-2.5-pro,gemini,46.1620228167
gemini_control_005_20260428T201639264461,0,control,gemini/gemini-2.5-pro,gemini,41.073416945
gemini_fundamental_003_20260428T201650528324,1,fundamental,gemini/gemini-2.5-pro,gemini,44.19365132590001
gemini_fundamental_014_20260428T201704352415,1,fundamental,gemini/gemini-2.5-pro,gemini,41.67864999999999
gemini_fundamental_015_20260428T201717971088,1,fundamental,gemini/gemini-2.5-pro,gemini,41.41683534879999
gemini_control_012_20260428T201730973952,0,control,gemini/gemini-2.5-pro,gemini,41.1622
gemini_fundamental_018_20260428T201743212194,1,fundamental,gemini/gemini-2.5-pro,gemini,44.343737468200004
gemini_combined_011_20260428T201755704890,3,combined,gemini/gemini-2.5-pro,gemini,36.609477879900005
gemini_combined_020_20260428T201813538077,3,combined,gemini/gemini-2.5-pro,gemini,32.4373187376
gemini_combined_029_20260428T201827122260,3,combined,gemini/gemini-2.5-pro,gemini,35.417281184
gemini_combined_010_20260428T201848331093,3,combined,gemini/gemini-2.5-pro,gemini,34.4741622704
gemini_control_019_20260428T201902388348,0,control,gemini/gemini-2.5-pro,gemini,39.6603188267
gemini_technical_025_20260428T201916755050,2,technical,gemini/gemini-2.5-pro,gemini,23.158516639100004
gemini_fundamental_013_20260428T201935576617,1,fundamental,gemini/gemini-2.5-pro,gemini,44.734271218399996
gemini_combined_014_20260428T201951321365,3,combined,gemini/gemini-2.5-pro,gemini,31.885420463999996
gemini_control_020_20260428T202005931482,0,control,gemini/gemini-2.5-pro,gemini,40.90592960189999
gemini_control_000_20260428T202018467594,0,control,gemini/gemini-2.5-pro,gemini,41.16065410979999
gemini_combined_025_20260428T202032077170,3,combined,gemini/gemini-2.5-pro,gemini,30.904787963199993
gemini_combined_015_20260428T202045412475,3,combined,gemini/gemini-2.5-pro,gemini,32.9755
gemini_fundamental_027_20260428T202059734008,1,fundamental,gemini/gemini-2.5-pro,gemini,45.449898321
gemini_combined_023_20260428T202113131752,3,combined,gemini/gemini-2.5-pro,gemini,33.60878296759999
gemini_fundamental_023_20260428T202125659152,1,fundamental,gemini/gemini-2.5-pro,gemini,44.3811640289
gemini_combined_017_20260428T202138445011,3,combined,gemini/gemini-2.5-pro,gemini,32.06600145789999
gemini_technical_029_20260428T202150623757,2,technical,gemini/gemini-2.5-pro,gemini,20.652331183
gemini_technical_023_20260428T202214499786,2,technical,gemini/gemini-2.5-pro,gemini,23.868475518999997
gemini_combined_001_20260428T202236123046,3,combined,gemini/gemini-2.5-pro,gemini,35.3528499293
gemini_control_025_20260428T202250401350,0,control,gemini/gemini-2.5-pro,gemini,39.9901032969
gemini_technical_011_20260428T202303939133,2,technical,gemini/gemini-2.5-pro,gemini,19.824120384800004
gemini_combined_012_20260428T202317615083,3,combined,gemini/gemini-2.5-pro,gemini,32.58474860449999
gemini_technical_017_20260428T202329234466,2,technical,gemini/gemini-2.5-pro,gemini,25.0522672939
gemini_technical_004_20260428T202347364119,2,technical,gemini/gemini-2.5-pro,gemini,21.7848879958
gemini_control_029_20260428T202401123439,0,control,gemini/gemini-2.5-pro,gemini,39.81675
gemini_control_027_20260428T202414906323,0,control,gemini/gemini-2.5-pro,gemini,40.987194526799996
gemini_combined_016_20260428T202429345074,3,combined,gemini/gemini-2.5-pro,gemini,31.613788898
gemini_combined_027_20260428T202442165148,3,combined,gemini/gemini-2.5-pro,gemini,31.2123785313
gemini_control_004_20260428T202455978892,0,control,gemini/gemini-2.5-pro,gemini,40.9014576022
gemini_fundamental_024_20260428T202508466784,1,fundamental,gemini/gemini-2.5-pro,gemini,48.869145957399994
gemini_technical_015_20260428T202522698749,2,technical,gemini/gemini-2.5-pro,gemini,23.0645557437
gemini_control_011_20260428T202535601270,0,control,gemini/gemini-2.5-pro,gemini,38.3887
gemini_technical_009_20260428T202547887365,2,technical,gemini/gemini-2.5-pro,gemini,23.5501147352
gemini_combined_021_20260428T202601813511,3,combined,gemini/gemini-2.5-pro,gemini,30.4305248266
gemini_technical_026_20260428T202617270254,2,technical,gemini/gemini-2.5-pro,gemini,21.6029298825
gemini_control_013_20260428T202629659771,0,control,gemini/gemini-2.5-pro,gemini,40.841503734
gemini_combined_026_20260428T202642769897,3,combined,gemini/gemini-2.5-pro,gemini,29.6021167624
gemini_control_017_20260428T202655780129,0,control,gemini/gemini-2.5-pro,gemini,40.2694981266
gemini_control_028_20260428T202708681504,0,control,gemini/gemini-2.5-pro,gemini,40.2402997762
gemini_fundamental_001_20260428T202721373680,1,fundamental,gemini/gemini-2.5-pro,gemini,46.405879916
gemini_fundamental_005_20260428T202735203700,1,fundamental,gemini/gemini-2.5-pro,gemini,43.841609999999996
gemini_combined_004_20260428T202748185403,3,combined,gemini/gemini-2.5-pro,gemini,35.0578308499
gemini_control_003_20260428T202802853259,0,control,gemini/gemini-2.5-pro,gemini,40.7538
gemini_control_014_20260428T202816568247,0,control,gemini/gemini-2.5-pro,gemini,38.35351171
gemini_technical_021_20260428T202833056911,2,technical,gemini/gemini-2.5-pro,gemini,20.5391956844
